VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc,Weight.glasso
GN02,Unassigned.1,0.4430456972046123,2.398507317505688e-13,5.461661241067169e-13,0.22688465057743154,3.157554281413666e-4,6.82031724785352e-4,-0.062061702010408656,0.26,0.34006920415224917,0
Chlamydiae,GN02,0.4128515480223217,1.2588130830341354e-11,2.558233039714533e-11,0.13790594938869793,0.02991927265271102,0.04771934625622264,0.11111864868874612,0,0,0
GN02,ZB3,0.3179550578002292,3.133679716863098e-7,4.776334407154238e-7,0.0520876263001457,0.41410718306613625,0.4861258235993774,-0.06979662263215591,0.04,0.060480000000000055,0
GN02,TM7,0.43722090830888377,5.310954889906247e-13,1.187894052298557e-12,0.005711044360517364,0.9286972874680248,0.9446877653125199,8.368469687837716e-4,0.8600000000000001,0.934137931034483,0
GN02,WPS-2,0.21675986747617335,5.876559846075799e-4,7.355429211313417e-4,-0.002406223908530127,0.9699253868471958,0.9724981332314058,-0.0207733688729366,0.76,0.847433628318584,0
GN02,Lentisphaerae,0.1766718233640857,0.005268265955845422,0.006262278400344558,0.007722552646107981,0.9036892292757749,0.9282460018104427,-0.025615325811053406,0.84,0.9176878612716762,0
GN02,Parvarchaeota,0.5168038976328597,2.4520346364465427e-18,7.129762250590716e-18,0.26034937844421635,3.309064539285496e-5,8.069847715160758e-5,0.3136280934892349,0,0,0
GN02,GN02,1,-0,-0,1,-0,-0,1,1,1,0
Crenarchaeota,SBR1093,-0.08876806360838294,0.16343507772480875,0.17701564292257224,-0.1123421393672033,0.07742573311191267,0.11343770200117437,-0.2873235512308716,0,0,0
Crenarchaeota,Cyanobacteria,-0.405283924846096,3.1977657322333615e-11,6.328562548608432e-11,-0.42989850077170383,1.4122590816217389e-12,5.503442606732137e-12,-0.39329810025182294,0,0,0
Crenarchaeota,Firmicutes,-0.0141817535254662,0.8241446830767958,0.8329590647139808,-0.049290712711173156,0.43965304734085164,0.5097817542786562,-0.38570640774699133,0,0,0
Crenarchaeota,Euryarchaeota,0.4125734801755107,1.3032241122701253e-11,2.6064482245402507e-11,0.26866412520326877,1.7975143953644184e-5,4.499738022832782e-5,0.12644222072476902,0,0,0
Actinobacteria,Crenarchaeota,0.16499227089764043,0.009240166187591534,0.010780193885523457,0.10845695466371409,0.08830934336841188,0.127896290395631,-0.23066501257860017,0,0,0
Bacteroidetes,Crenarchaeota,-0.1676980232730989,0.008136898141407157,0.009552010861651881,-0.15134253575250842,0.017076426257018516,0.02947437956690867,-0.3540007585213131,0,0,0
Crenarchaeota,Proteobacteria,0.021622826435824884,0.7347333355409598,0.7465838732109752,0.03199568840743038,0.6160534377506944,0.6889591700288831,-0.29253743256522374,0,0,0
Crenarchaeota,Verrucomicrobia,0.2694479628416806,1.6952415866440774e-5,2.3821610399682576e-5,0.2897197329378124,3.4951472475841526e-6,9.436897568477212e-6,-0.2165963118180434,0,0,0
Crenarchaeota,Unassigned.1,0.40741134466997864,2.466328663356968e-11,4.90669597236281e-11,0.34819153173032785,1.7722928027764082e-8,5.72586905512378e-8,-0.12150252741557749,0,0,0
Chlamydiae,Crenarchaeota,0.2292738926225334,2.7159395541558404e-4,3.4800852592234156e-4,0.027000277510949664,0.6722005495685429,0.7239082841507385,-0.23789703471211196,0,0,0
Crenarchaeota,ZB3,0.28692435678026773,4.377747913195997e-6,6.340186632904547e-6,0.10712488308932916,0.09231146350298118,0.13217323183381396,-0.09402481574449444,0.1,0.14210526315789487,0
Crenarchaeota,TM7,0.47905947863415416,1.2391460003402303e-15,3.1648458657338312e-15,0.2171498836382274,5.740562357460448e-4,0.001198857774099475,0.10889309863221122,0.06000000000000005,0.0872307692307693,0
Crenarchaeota,WPS-2,0.16303328109752463,0.010119793629632442,0.011770098436926349,0.030387414953471036,0.6339077685961421,0.706835211001008,-0.17888622836614765,0,0,0
Crenarchaeota,Lentisphaerae,0.41730700326572007,7.191022765481282e-12,1.4935201128307278e-11,0.2012814136478091,0.0014403339215752363,0.0029114771248953974,0.07125907399722523,0.10000000000000009,0.14210526315789487,0
